id,polarity,clean,tweet,positive
2622192321,0.118181818,new twitter on one account and old twitter on another account?  when will it get to all accounts? #newtwitter,Positive,48
2614182944,0.136363636,cara make #newtwitter gimana?emang new twitter apaan ? -_-,Positive,16
2677693643,0.136363636,a review of the new twitter platform by intersearchmedia @collegedj  #newtwitter #college,Positive,22
2671057189,0.136363636,i refuse to click the #newtwitter button f you new twitter,Positive,
2673003946,0.136363636,#withoutmy #newtwitter i would be board like the rest of you with out the new twitter,Positive,
2629372558,0.136363636,new twitter is the bigges dog #newtwitter,Positive,
2685076343,0.136363636,making a new twitter background for the #newtwitter,Positive,
2658614093,0.136363636,i'm trying new twitter. for me it looks like this:    ? #newtwitte,Positive,
2686732985,0.136363636,everybody should get use to the #newtwitter cause they might make this new twitter permanent,Positive,
2659526706,0.136363636,alright new twitter. #newtwitter,Positive,
2647279663,0.136363636,"no #newtwitter yet.  i am patiently waiting.  pssh, even @alqaeda gets the new twitter before me.",Positive,
2624104362,0.136363636,why isnt mine the new twitter? #newtwitter,Positive,
2659641531,0.136363636,the new @twitter promotional video. soundtrack by: will.i.am and nick minaj. "check it out".  [#newtwitter #socialmedia],Positive,
2619530219,0.136363636,quero new twitter #newtwitter,Positive,
2672082646,0.136363636,"damn you, new twitter, you just keep going and going. now i keep reading and reading without stopping for days and days. #newtwitter",Positive,
2603355408,0.138257576,"i just left the preview of new @twitter. couldn't stand it. especially the dms. when they force me on it, fine. #newtwitter",Positive,
2677896943,0.140151515,be glad. rt @lizzieanderton i can not access the new twitter! :/ #newtwitter,Positive,
2658782972,0.174545455,going back and forth from old twitter to new twitter i'm astonished at how much better new twitter is. #newtwitter #ftw,Positive,
2707506357,0.1875,@nlschmidt i am actually a fan of #newtwitter but it took some time. golden ratio!,Positive,
2679836906,0.211038961,@support why are my tweets on new twitter not appearing in the #newtwitter timeline? is it because you know i am right?,Positive,
2706696190,0.213068182,"i was having that problem, too! rt @markgammon: rt @cdavid17: hey @twitter i can't create new lists!! #newtwitter #bugs",Positive,
2672050497,0.213068182,al fin!! new twitter!! :d #newtwitter,Positive,
2707614487,0.233333333,#newtwitter looks quiet nice. so far it seems like an improvement.,Positive,
2648436723,0.235227273,aww i want new twitter! i want #newtwitter @twitter xxxx,Positive,
2697513859,0.25,really liking the #newtwitter!,Positive,
2707560275,0.25,... it opens the next "page" automatically as you reach the bottom of the page. :) #newtwitter,Positive,
2697905835,0.284090909,"""awesome"" is the word for #newtwitter. that is, if ""awesome"" was the new word for ""holy mother of god this is awful! it buuuuurns!""",Positive,
2718119934,0.284090909,@biia_0509 la em cima tem escrito welcome to #newtwitter! read up on what?s new. you can also leave the preview and come back later. +,Positive,
2659156238,0.318181818,love the new twitter. #newtwitter,Positive,
